No.,Species,Local Name,Location,Count (Approx.),Breeding Time,Habitat
248,Gobies,Local Name 248,Goa,Critically Endangered,Spring (Mar-Apr),"Freshwater rivers, Estuaries"
249,Gobies,Local Name 249,Bay of Bengal,Endangered,Monsoon (July-Sept),"Mangroves, Brackish"
250,Nurse Shark,Local Name 250,Kanyakumari,Declining,Winter (Dec-Feb),"Open Sea, Brackish"
251,Anglerfish,Local Name 251,Visakhapatnam,Endangered,Winter (Dec-Feb),"Open Sea, Estuaries"
252,Anchovy,Local Name 252,Lakshadweep Sea,Moderate,Spring (Mar-Apr),"Open Sea, Mangroves"
253,Pomfret,Local Name 253,"Sundarbans, West Bengal",Common,Year-round,"Coastal, Freshwater rivers"
254,Pomfret,Local Name 254,Goa,Common,Winter (Dec-Feb),"Estuaries, Mangroves"
255,Mullet,Local Name 255,Lakshadweep Sea,Common,Year-round,"Mangroves, Estuaries"
256,Herring,Local Name 256,Visakhapatnam,Declining,Monsoon (July-Sept),"Coastal, Rocky Reefs"
257,Shovelnose Ray,Local Name 257,Rameswaram Coast,Rare,Spring (Mar-Apr),"Shallow Reefs, Brackish"
258,Trevally,Local Name 258,West Bengal Coast,Common,Year-round,"Coastal, Estuaries"
259,Hilsa,Local Name 259,Lakshadweep Sea,Endangered,Monsoon (July-Sept),"Coastal, Coastal"
260,Parrot Fish,Local Name 260,Gulf of Mannar,Stable,Winter (Dec-Feb),"Sandy Bottoms, Rocky Reefs"
261,Butterfly Fish,Local Name 261,Andaman Islands,Common,Year-round,"Coastal, Coral Reefs"
262,Mandarinfish,Local Name 262,Rameswaram Coast,Declining,Spring (Mar-Apr),"Coral Reefs, Estuaries"
263,Anchovy,Local Name 263,West Bengal Coast,Rare,Monsoon (July-Sept),"Coral Reefs, Coastal"
264,Blue Marlin,Local Name 264,Bay of Bengal,Rare,Spring (Mar-Apr),"Shallow Reefs, Coral Reefs"
265,Hawkfish,Local Name 265,Gulf of Mannar,Moderate,Winter (Dec-Feb),"Coral Reefs, Estuaries"
266,Pufferfish,Local Name 266,West Bengal Coast,Rare,Winter (Dec-Feb),"Brackish, Estuaries"
267,Anthias,Local Name 267,Rameswaram Coast,Critically Endangered,Summer (May-Jul),"Brackish, Sandy Bottoms"
268,Tilefish,Local Name 268,Andaman Islands,Rare,Winter (Dec-Feb),"Sandy Bottoms, Freshwater rivers"
269,Butterfly Fish,Local Name 269,Rameswaram Coast,Endangered,Summer (May-Jul),"Coral Reefs, Estuaries"
270,Blue Marlin,Local Name 270,Goa,Critically Endangered,Summer (May-Jul),"Rocky Reefs, Coastal"
271,Pike,Local Name 271,Rameswaram Coast,Stable,Winter (Dec-Feb),"Open Sea, Sandy Bottoms"
272,Pomfret,Local Name 272,Odisha Coast,Declining,Year-round,"Sandy Bottoms, Rocky Reefs"
273,Dory,Local Name 273,Palk Strait,Common,Year-round,"Shallow Reefs, Brackish"
274,Mackerel,Local Name 274,Kerala Backwaters,Declining,Year-round,"Estuaries, Sandy Bottoms"
275,Indo-Pacific King Mackerel,Local Name 275,"Sundarbans, West Bengal",Moderate,Summer (May-Jul),"Brackish, Rocky Reefs"
276,Anchovy,Local Name 276,Gulf of Mannar,Stable,Summer (May-Jul),"Open Sea, Open Sea"
277,Pomfret,Local Name 277,Gulf of Mannar,Critically Endangered,Winter (Dec-Feb),"Shallow Reefs, Rocky Reefs"
278,Anchovy,Local Name 278,West Bengal Coast,Common,Year-round,"Shallow Reefs, Mangroves"
279,Barracuda,Local Name 279,Gulf of Mannar,Endangered,Year-round,"Shallow Reefs, Brackish"
280,Carp,Local Name 280,Bay of Bengal,Rare,Year-round,"Rocky Reefs, Shallow Reefs"
281,Silver Whiting,Local Name 281,Goa,Common,Year-round,"Mangroves, Brackish"
282,Snappers,Local Name 282,Goa,Endangered,Winter (Dec-Feb),"Brackish, Rocky Reefs"
283,Carp,Local Name 283,West Bengal Coast,Common,Year-round,"Sandy Bottoms, Open Sea"
284,Chub,Local Name 284,Kerala Backwaters,Endangered,Spring (Mar-Apr),"Sandy Bottoms, Sandy Bottoms"
285,Mullet,Local Name 285,Odisha Coast,Declining,Winter (Dec-Feb),"Brackish, Coral Reefs"
286,Scorpion Fish,Local Name 286,Goa,Declining,Year-round,"Shallow Reefs, Sandy Bottoms"
287,Tuna,Local Name 287,Visakhapatnam,Declining,Summer (May-Jul),"Rocky Reefs, Shallow Reefs"
288,Barracuda,Local Name 288,Goa,Moderate,Year-round,"Shallow Reefs, Rocky Reefs"
289,Shovelnose Ray,Local Name 289,Visakhapatnam,Endangered,Year-round,"Open Sea, Mangroves"
290,Anchovy,Local Name 290,Rameswaram Coast,Moderate,Winter (Dec-Feb),"Coral Reefs, Rocky Reefs"
291,Tilefish,Local Name 291,Goa,Moderate,Year-round,"Open Sea, Freshwater rivers"
292,Blacktip Shark,Local Name 292,Mumbai Coast,Moderate,Monsoon (July-Sept),"Mangroves, Sandy Bottoms"
293,Mackerel,Local Name 293,Bay of Bengal,Rare,Monsoon (July-Sept),"Freshwater rivers, Coastal"
294,Grunt,Local Name 294,"Sundarbans, West Bengal",Common,Summer (May-Jul),"Estuaries, Brackish"
295,Ladyfish,Local Name 295,Kochi,Rare,Summer (May-Jul),"Shallow Reefs, Brackish"
296,Tilefish,Local Name 296,Tamil Nadu Coast,Common,Summer (May-Jul),"Brackish, Coral Reefs"
297,Yellow Sea Bream,Local Name 297,Odisha Coast,Common,Summer (May-Jul),"Shallow Reefs, Brackish"
298,Barramundi,Local Name 298,Rameswaram Coast,Endangered,Spring (Mar-Apr),"Freshwater rivers, Sandy Bottoms"
299,Bluefin Tuna,Local Name 299,Visakhapatnam,Endangered,Summer (May-Jul),"Rocky Reefs, Freshwater rivers"
300,Herring,Local Name 300,Bay of Bengal,Rare,Winter (Dec-Feb),"Freshwater rivers, Mangroves"
301,Anchovy,Local Name 301,"Sundarbans, West Bengal",Common,Winter (Dec-Feb),"Open Sea, Coral Reefs"
302,Silver Whiting,Local Name 302,Odisha Coast,Declining,Monsoon (July-Sept),"Mangroves, Mangroves"
303,Scorpion Fish,Local Name 303,Odisha Coast,Rare,Year-round,"Estuaries, Sandy Bottoms"
304,Pomfret,Local Name 304,Odisha Coast,Declining,Year-round,"Rocky Reefs, Coral Reefs"
305,Hawkfish,Local Name 305,Tamil Nadu Coast,Rare,Summer (May-Jul),"Coral Reefs, Coastal"
306,Trevally,Local Name 306,Gulf of Mannar,Common,Monsoon (July-Sept),"Mangroves, Mangroves"
307,Bream,Local Name 307,"Sundarbans, West Bengal",Declining,Winter (Dec-Feb),"Rocky Reefs, Mangroves"
308,Giant Grouper,Local Name 308,Bay of Bengal,Moderate,Summer (May-Jul),"Shallow Reefs, Sandy Bottoms"
309,Ladyfish,Local Name 309,Andaman Islands,Moderate,Spring (Mar-Apr),"Coastal, Coral Reefs"
310,Mahi-Mahi,Local Name 310,Rameswaram Coast,Common,Year-round,"Coastal, Mangroves"
311,Pufferfish,Local Name 311,Mumbai Coast,Stable,Year-round,"Sandy Bottoms, Shallow Reefs"
312,Bluespotted Ribbontail Ray,Local Name 312,Visakhapatnam,Declining,Winter (Dec-Feb),"Freshwater rivers, Freshwater rivers"
313,Anthias,Local Name 313,Odisha Coast,Critically Endangered,Winter (Dec-Feb),"Estuaries, Estuaries"
314,Ribbon Fish,Local Name 314,Kanyakumari,Moderate,Spring (Mar-Apr),"Rocky Reefs, Coastal"
315,Wrasse,Local Name 315,Rameswaram Coast,Stable,Year-round,"Shallow Reefs, Freshwater rivers"
316,Sardine,Local Name 316,Kochi,Declining,Monsoon (July-Sept),"Freshwater rivers, Brackish"
317,Trevally,Local Name 317,Kanyakumari,Common,Summer (May-Jul),"Rocky Reefs, Sandy Bottoms"
318,Anchovy,Local Name 318,Lakshadweep Sea,Common,Summer (May-Jul),"Freshwater rivers, Coral Reefs"
319,Mahi-Mahi,Local Name 319,Rameswaram Coast,Endangered,Year-round,"Shallow Reefs, Freshwater rivers"
320,Ladyfish,Local Name 320,Goa,Rare,Summer (May-Jul),"Estuaries, Coral Reefs"
321,Mullet,Local Name 321,Kanyakumari,Stable,Summer (May-Jul),"Mangroves, Coral Reefs"
322,Pike,Local Name 322,Mumbai Coast,Declining,Spring (Mar-Apr),"Shallow Reefs, Coral Reefs"
323,Sturgeon,Local Name 323,Lakshadweep Sea,Critically Endangered,Summer (May-Jul),"Brackish, Freshwater rivers"
324,Barracuda,Local Name 324,Odisha Coast,Endangered,Summer (May-Jul),"Mangroves, Mangroves"
325,Wrasse,Local Name 325,Bay of Bengal,Rare,Year-round,"Rocky Reefs, Coastal"
326,Gobies,Local Name 326,Bay of Bengal,Declining,Spring (Mar-Apr),"Mangroves, Estuaries"
327,Groupers,Local Name 327,Mumbai Coast,Endangered,Winter (Dec-Feb),"Mangroves, Brackish"
328,Bream,Local Name 328,Kochi,Critically Endangered,Winter (Dec-Feb),"Estuaries, Coastal"
329,Bombay Duck,Local Name 329,Tamil Nadu Coast,Stable,Year-round,"Coral Reefs, Coral Reefs"
330,Wrasse,Local Name 330,Kochi,Moderate,Monsoon (July-Sept),"Rocky Reefs, Coastal"
331,Nurse Shark,Local Name 331,Rameswaram Coast,Stable,Year-round,"Coral Reefs, Freshwater rivers"
332,Trout,Local Name 332,Gulf of Mannar,Rare,Spring (Mar-Apr),"Sandy Bottoms, Sandy Bottoms"
333,Mahi-Mahi,Local Name 333,Palk Strait,Stable,Summer (May-Jul),"Shallow Reefs, Mangroves"
334,Blue Marlin,Local Name 334,"Sundarbans, West Bengal",Common,Winter (Dec-Feb),"Mangroves, Coastal"
335,Blacktip Shark,Local Name 335,Kanyakumari,Stable,Winter (Dec-Feb),"Rocky Reefs, Coastal"
336,Grunt,Local Name 336,Bay of Bengal,Endangered,Spring (Mar-Apr),"Freshwater rivers, Shallow Reefs"
337,Parrot Fish,Local Name 337,Goa,Critically Endangered,Winter (Dec-Feb),"Shallow Reefs, Sandy Bottoms"
338,Snappers,Local Name 338,West Bengal Coast,Critically Endangered,Year-round,"Mangroves, Freshwater rivers"
339,Dory,Local Name 339,Rameswaram Coast,Declining,Year-round,"Open Sea, Coral Reefs"
340,Indo-Pacific King Mackerel,Local Name 340,Goa,Declining,Year-round,"Brackish, Coastal"
341,Herring,Local Name 341,Bay of Bengal,Stable,Year-round,"Brackish, Rocky Reefs"
342,Anthias,Local Name 342,"Sundarbans, West Bengal",Stable,Spring (Mar-Apr),"Coral Reefs, Estuaries"
343,Drum,Local Name 343,Tamil Nadu Coast,Common,Winter (Dec-Feb),"Freshwater rivers, Sandy Bottoms"
344,Moray Eel,Local Name 344,Kerala Backwaters,Declining,Year-round,"Coral Reefs, Rocky Reefs"
345,Gobies,Local Name 345,Kanyakumari,Common,Winter (Dec-Feb),"Mangroves, Rocky Reefs"
346,Trout,Local Name 346,"Sundarbans, West Bengal",Moderate,Winter (Dec-Feb),"Freshwater rivers, Mangroves"
347,Barramundi,Local Name 347,Goa,Declining,Spring (Mar-Apr),"Shallow Reefs, Estuaries"
348,Longcomb Sawfish,Local Name 348,Kerala Backwaters,Common,Winter (Dec-Feb),"Open Sea, Coral Reefs"
349,Snapper,Local Name 349,Gulf of Mannar,Declining,Summer (May-Jul),"Brackish, Shallow Reefs"
350,Drum,Local Name 350,Andaman Islands,Rare,Winter (Dec-Feb),"Freshwater rivers, Freshwater rivers"
351,Blue Chromis,Local Name 351,Lakshadweep Sea,Declining,Year-round,"Estuaries, Brackish"
352,Pangasius Catfish,Local Name 352,Kochi,Rare,Winter (Dec-Feb),"Sandy Bottoms, Coastal"
353,Bluespotted Ribbontail Ray,Local Name 353,West Bengal Coast,Critically Endangered,Spring (Mar-Apr),"Open Sea, Sandy Bottoms"
354,Seahorse,Local Name 354,Mumbai Coast,Endangered,Spring (Mar-Apr),"Coral Reefs, Brackish"
355,Carp,Local Name 355,Lakshadweep Sea,Stable,Monsoon (July-Sept),"Brackish, Coral Reefs"
356,Catfish,Local Name 356,Kerala Backwaters,Moderate,Spring (Mar-Apr),"Open Sea, Rocky Reefs"
357,Seahorse,Local Name 357,Lakshadweep Sea,Endangered,Monsoon (July-Sept),"Coastal, Estuaries"
358,Hilsa,Local Name 358,Bay of Bengal,Stable,Spring (Mar-Apr),"Freshwater rivers, Sandy Bottoms"
359,Swordfish,Local Name 359,Goa,Common,Winter (Dec-Feb),"Coastal, Freshwater rivers"
360,Pufferfish,Local Name 360,Gulf of Mannar,Moderate,Year-round,"Mangroves, Coastal"
361,Emperor Fish,Local Name 361,"Sundarbans, West Bengal",Rare,Winter (Dec-Feb),"Open Sea, Coastal"
362,Shovelnose Ray,Local Name 362,Mumbai Coast,Stable,Spring (Mar-Apr),"Coral Reefs, Brackish"
363,Shovelnose Ray,Local Name 363,Kanyakumari,Moderate,Year-round,"Sandy Bottoms, Rocky Reefs"
364,Blue Chromis,Local Name 364,Odisha Coast,Declining,Summer (May-Jul),"Coastal, Mangroves"
365,Parrot Fish,Local Name 365,Kochi,Moderate,Year-round,"Sandy Bottoms, Freshwater rivers"
366,Anthias,Local Name 366,West Bengal Coast,Rare,Winter (Dec-Feb),"Mangroves, Mangroves"
367,Snappers,Local Name 367,Tamil Nadu Coast,Common,Spring (Mar-Apr),"Rocky Reefs, Rocky Reefs"
368,Bonito,Local Name 368,Andaman Islands,Declining,Spring (Mar-Apr),"Open Sea, Shallow Reefs"
369,Tuna,Local Name 369,Andaman Islands,Critically Endangered,Year-round,"Freshwater rivers, Brackish"
370,Pufferfish,Local Name 370,Kochi,Common,Winter (Dec-Feb),"Open Sea, Coral Reefs"
371,Hawkfish,Local Name 371,Andaman Islands,Declining,Year-round,"Mangroves, Brackish"
372,Nurse Shark,Local Name 372,Gulf of Mannar,Moderate,Summer (May-Jul),"Mangroves, Sandy Bottoms"
373,Mullet,Local Name 373,"Sundarbans, West Bengal",Stable,Summer (May-Jul),"Estuaries, Mangroves"
374,Scorpion Fish,Local Name 374,Andaman Islands,Endangered,Summer (May-Jul),"Estuaries, Estuaries"
375,Surgeon Fish,Local Name 375,Lakshadweep Sea,Declining,Monsoon (July-Sept),"Shallow Reefs, Estuaries"
376,Mullet,Local Name 376,Kerala Backwaters,Common,Spring (Mar-Apr),"Coastal, Estuaries"
377,Anchovy,Local Name 377,Kerala Backwaters,Rare,Year-round,"Shallow Reefs, Mangroves"
378,Chub,Local Name 378,Andaman Islands,Endangered,Winter (Dec-Feb),"Sandy Bottoms, Estuaries"
379,Shovelnose Ray,Local Name 379,Kochi,Endangered,Summer (May-Jul),"Mangroves, Coral Reefs"
380,Seahorse,Local Name 380,Tamil Nadu Coast,Stable,Year-round,"Freshwater rivers, Coral Reefs"
381,Snappers,Local Name 381,Kerala Backwaters,Rare,Spring (Mar-Apr),"Coastal, Rocky Reefs"
382,Ladyfish,Local Name 382,Tamil Nadu Coast,Critically Endangered,Monsoon (July-Sept),"Brackish, Estuaries"
383,Tuna,Local Name 383,Lakshadweep Sea,Moderate,Winter (Dec-Feb),"Coral Reefs, Coral Reefs"
384,Anthias,Local Name 384,West Bengal Coast,Stable,Summer (May-Jul),"Mangroves, Shallow Reefs"
385,Lion Fish,Local Name 385,Tamil Nadu Coast,Rare,Year-round,"Open Sea, Mangroves"
386,Tilefish,Local Name 386,"Sundarbans, West Bengal",Critically Endangered,Winter (Dec-Feb),"Mangroves, Brackish"
387,Scorpion Fish,Local Name 387,Kochi,Moderate,Year-round,"Mangroves, Open Sea"
388,Barracuda,Local Name 388,Lakshadweep Sea,Common,Summer (May-Jul),"Brackish, Freshwater rivers"
389,Mullet,Local Name 389,Kochi,Declining,Winter (Dec-Feb),"Coastal, Coastal"
390,Nurse Shark,Local Name 390,Mumbai Coast,Common,Spring (Mar-Apr),"Mangroves, Mangroves"
391,Anchovy,Local Name 391,Kanyakumari,Declining,Winter (Dec-Feb),"Freshwater rivers, Brackish"
392,Tilefish,Local Name 392,Bay of Bengal,Rare,Year-round,"Shallow Reefs, Sandy Bottoms"
393,Butterfly Fish,Local Name 393,Odisha Coast,Common,Monsoon (July-Sept),"Estuaries, Coastal"
394,Giant Grouper,Local Name 394,West Bengal Coast,Critically Endangered,Winter (Dec-Feb),"Coral Reefs, Brackish"
395,Goby,Local Name 395,Mumbai Coast,Stable,Spring (Mar-Apr),"Rocky Reefs, Open Sea"
396,Anthias,Local Name 396,Lakshadweep Sea,Moderate,Spring (Mar-Apr),"Shallow Reefs, Coral Reefs"
397,Dory,Local Name 397,Lakshadweep Sea,Moderate,Monsoon (July-Sept),"Coral Reefs, Estuaries"
398,Bluespotted Ribbontail Ray,Local Name 398,Odisha Coast,Declining,Summer (May-Jul),"Shallow Reefs, Estuaries"
399,Tilapia,Local Name 399,Kochi,Common,Year-round,"Mangroves, Sandy Bottoms"
400,Drum,Local Name 400,Tamil Nadu Coast,Rare,Year-round,"Open Sea, Shallow Reefs"
401,Moray Eel,Local Name 401,Kanyakumari,Rare,Winter (Dec-Feb),"Brackish, Estuaries"
402,Drum,Local Name 402,Kochi,Rare,Summer (May-Jul),"Mangroves, Mangroves"
403,Bombay Duck,Local Name 403,Mumbai Coast,Declining,Spring (Mar-Apr),"Shallow Reefs, Coastal"
404,Mandarinfish,Local Name 404,Tamil Nadu Coast,Declining,Summer (May-Jul),"Rocky Reefs, Freshwater rivers"
405,Bluefin Tuna,Local Name 405,Tamil Nadu Coast,Endangered,Year-round,"Sandy Bottoms, Estuaries"
406,Indo-Pacific King Mackerel,Local Name 406,Goa,Endangered,Winter (Dec-Feb),"Brackish, Freshwater rivers"
407,Moray Eel,Local Name 407,Bay of Bengal,Common,Winter (Dec-Feb),"Coral Reefs, Rocky Reefs"
408,Chub,Local Name 408,Gulf of Mannar,Rare,Summer (May-Jul),"Freshwater rivers, Sandy Bottoms"
409,Indo-Pacific King Mackerel,Local Name 409,Odisha Coast,Common,Spring (Mar-Apr),"Open Sea, Coastal"
410,Herring,Local Name 410,Kanyakumari,Stable,Monsoon (July-Sept),"Freshwater rivers, Estuaries"
411,Giant Grouper,Local Name 411,Kerala Backwaters,Common,Winter (Dec-Feb),"Rocky Reefs, Brackish"
412,Pomfret,Local Name 412,"Sundarbans, West Bengal",Moderate,Winter (Dec-Feb),"Shallow Reefs, Coral Reefs"
413,Barramundi,Local Name 413,Andaman Islands,Critically Endangered,Year-round,"Coastal, Rocky Reefs"
414,Anthias,Local Name 414,Kanyakumari,Endangered,Monsoon (July-Sept),"Open Sea, Sandy Bottoms"
415,Groupers,Local Name 415,"Sundarbans, West Bengal",Critically Endangered,Summer (May-Jul),"Rocky Reefs, Coastal"
416,Eel,Local Name 416,Mumbai Coast,Common,Monsoon (July-Sept),"Coral Reefs, Rocky Reefs"
417,Trout,Local Name 417,Lakshadweep Sea,Moderate,Monsoon (July-Sept),"Rocky Reefs, Rocky Reefs"
418,Mackerel,Local Name 418,West Bengal Coast,Critically Endangered,Year-round,"Sandy Bottoms, Coastal"
419,Sandperch,Local Name 419,Mumbai Coast,Moderate,Summer (May-Jul),"Shallow Reefs, Estuaries"
420,Indo-Pacific King Mackerel,Local Name 420,Palk Strait,Common,Year-round,"Rocky Reefs, Open Sea"
421,Barracuda,Local Name 421,Kerala Backwaters,Rare,Spring (Mar-Apr),"Open Sea, Estuaries"
422,Bream,Local Name 422,Palk Strait,Endangered,Year-round,"Open Sea, Rocky Reefs"
423,Dory,Local Name 423,Tamil Nadu Coast,Moderate,Spring (Mar-Apr),"Shallow Reefs, Coral Reefs"
424,Parrot Fish,Local Name 424,"Sundarbans, West Bengal",Critically Endangered,Spring (Mar-Apr),"Coral Reefs, Estuaries"
425,Dory,Local Name 425,Goa,Rare,Spring (Mar-Apr),"Coastal, Estuaries"
426,Mackerel,Local Name 426,Palk Strait,Critically Endangered,Summer (May-Jul),"Open Sea, Brackish"
427,Bombay Duck,Local Name 427,Bay of Bengal,Critically Endangered,Winter (Dec-Feb),"Freshwater rivers, Sandy Bottoms"
428,Tilapia,Local Name 428,Kochi,Rare,Summer (May-Jul),"Mangroves, Rocky Reefs"
429,Indo-Pacific King Mackerel,Local Name 429,Visakhapatnam,Critically Endangered,Year-round,"Mangroves, Freshwater rivers"
430,Snappers,Local Name 430,Andaman Islands,Stable,Summer (May-Jul),"Freshwater rivers, Freshwater rivers"
431,Pike,Local Name 431,Odisha Coast,Critically Endangered,Winter (Dec-Feb),"Rocky Reefs, Open Sea"
432,Bream,Local Name 432,Rameswaram Coast,Stable,Spring (Mar-Apr),"Shallow Reefs, Estuaries"
433,Sandperch,Local Name 433,Lakshadweep Sea,Stable,Spring (Mar-Apr),"Coral Reefs, Shallow Reefs"
434,Sandperch,Local Name 434,Goa,Declining,Summer (May-Jul),"Rocky Reefs, Rocky Reefs"
435,Anchovy,Local Name 435,Gulf of Mannar,Endangered,Summer (May-Jul),"Freshwater rivers, Rocky Reefs"
436,Grunt,Local Name 436,Kochi,Moderate,Monsoon (July-Sept),"Mangroves, Sandy Bottoms"
437,Moray Eel,Local Name 437,Tamil Nadu Coast,Endangered,Year-round,"Coastal, Rocky Reefs"
438,Snapper,Local Name 438,Gulf of Mannar,Declining,Monsoon (July-Sept),"Sandy Bottoms, Mangroves"
439,Guitarfish,Local Name 439,Rameswaram Coast,Common,Winter (Dec-Feb),"Coastal, Mangroves"
440,Grunt,Local Name 440,Kerala Backwaters,Rare,Year-round,"Mangroves, Rocky Reefs"
441,Pike,Local Name 441,Kanyakumari,Declining,Winter (Dec-Feb),"Estuaries, Sandy Bottoms"
442,Catfish,Local Name 442,Andaman Islands,Common,Spring (Mar-Apr),"Shallow Reefs, Mangroves"
443,Chub,Local Name 443,Tamil Nadu Coast,Critically Endangered,Spring (Mar-Apr),"Brackish, Mangroves"
444,Anchovy,Local Name 444,Andaman Islands,Endangered,Winter (Dec-Feb),"Coastal, Freshwater rivers"
445,Hilsa,Local Name 445,"Sundarbans, West Bengal",Declining,Winter (Dec-Feb),"Brackish, Open Sea"
446,Tilapia,Local Name 446,Mumbai Coast,Critically Endangered,Spring (Mar-Apr),"Coastal, Mangroves"
447,Cod,Local Name 447,Bay of Bengal,Rare,Winter (Dec-Feb),"Open Sea, Estuaries"
448,Trevally,Local Name 448,Tamil Nadu Coast,Endangered,Monsoon (July-Sept),"Freshwater rivers, Estuaries"
449,Bombay Duck,Local Name 449,Kanyakumari,Stable,Summer (May-Jul),"Mangroves, Freshwater rivers"
450,Wrasse,Local Name 450,Rameswaram Coast,Endangered,Winter (Dec-Feb),"Mangroves, Rocky Reefs"
451,Ribbon Fish,Local Name 451,Palk Strait,Stable,Monsoon (July-Sept),"Mangroves, Shallow Reefs"
452,Pike,Local Name 452,"Sundarbans, West Bengal",Declining,Spring (Mar-Apr),"Shallow Reefs, Coastal"
453,Moray Eel,Local Name 453,Bay of Bengal,Declining,Winter (Dec-Feb),"Freshwater rivers, Coastal"
454,Barracuda,Local Name 454,Odisha Coast,Moderate,Year-round,"Mangroves, Coral Reefs"
455,Barracuda,Local Name 455,Rameswaram Coast,Moderate,Monsoon (July-Sept),"Sandy Bottoms, Freshwater rivers"
456,Mandarinfish,Local Name 456,Visakhapatnam,Stable,Monsoon (July-Sept),"Shallow Reefs, Coastal"
457,Sandperch,Local Name 457,Gulf of Mannar,Common,Winter (Dec-Feb),"Coastal, Coastal"
458,Bream,Local Name 458,"Sundarbans, West Bengal",Rare,Year-round,"Coral Reefs, Open Sea"
459,Sandperch,Local Name 459,"Sundarbans, West Bengal",Endangered,Summer (May-Jul),"Sandy Bottoms, Open Sea"
460,Pomfret,Local Name 460,Goa,Stable,Monsoon (July-Sept),"Sandy Bottoms, Mangroves"
461,Gobies,Local Name 461,Kanyakumari,Endangered,Summer (May-Jul),"Estuaries, Coral Reefs"
462,Anchovy,Local Name 462,Andaman Islands,Critically Endangered,Summer (May-Jul),"Estuaries, Brackish"
463,Longcomb Sawfish,Local Name 463,Andaman Islands,Rare,Winter (Dec-Feb),"Coastal, Estuaries"
464,Wrasse,Local Name 464,Kerala Backwaters,Critically Endangered,Summer (May-Jul),"Estuaries, Sandy Bottoms"
465,Bream,Local Name 465,Kanyakumari,Declining,Monsoon (July-Sept),"Estuaries, Rocky Reefs"
466,Bream,Local Name 466,Andaman Islands,Common,Winter (Dec-Feb),"Rocky Reefs, Estuaries"
467,Barramundi,Local Name 467,West Bengal Coast,Common,Monsoon (July-Sept),"Rocky Reefs, Rocky Reefs"
468,Tilapia,Local Name 468,Gulf of Mannar,Critically Endangered,Monsoon (July-Sept),"Brackish, Coastal"
469,Grunt,Local Name 469,Gulf of Mannar,Moderate,Year-round,"Sandy Bottoms, Rocky Reefs"
470,Goby,Local Name 470,Kerala Backwaters,Rare,Year-round,"Coral Reefs, Open Sea"
471,Anthias,Local Name 471,Palk Strait,Endangered,Year-round,"Coastal, Rocky Reefs"
472,Emperor Fish,Local Name 472,Kanyakumari,Moderate,Monsoon (July-Sept),"Rocky Reefs, Open Sea"
473,Clown Fish,Local Name 473,Kanyakumari,Critically Endangered,Summer (May-Jul),"Open Sea, Mangroves"
474,Cod,Local Name 474,"Sundarbans, West Bengal",Common,Spring (Mar-Apr),"Estuaries, Mangroves"
475,Blacktip Shark,Local Name 475,Goa,Critically Endangered,Summer (May-Jul),"Sandy Bottoms, Freshwater rivers"
476,Snappers,Local Name 476,Goa,Stable,Spring (Mar-Apr),"Open Sea, Estuaries"
477,Ribbon Fish,Local Name 477,Bay of Bengal,Common,Spring (Mar-Apr),"Mangroves, Sandy Bottoms"
478,Seahorse,Local Name 478,Bay of Bengal,Common,Year-round,"Coral Reefs, Brackish"
479,Blue Marlin,Local Name 479,Tamil Nadu Coast,Endangered,Summer (May-Jul),"Coastal, Freshwater rivers"
480,Mahi-Mahi,Local Name 480,Kanyakumari,Common,Winter (Dec-Feb),"Shallow Reefs, Mangroves"
481,Sardine,Local Name 481,Bay of Bengal,Critically Endangered,Summer (May-Jul),"Sandy Bottoms, Shallow Reefs"
482,Tuna,Local Name 482,Goa,Endangered,Winter (Dec-Feb),"Sandy Bottoms, Freshwater rivers"
483,Emperor Fish,Local Name 483,Visakhapatnam,Moderate,Winter (Dec-Feb),"Rocky Reefs, Open Sea"
484,Butterfly Fish,Local Name 484,West Bengal Coast,Moderate,Summer (May-Jul),"Coral Reefs, Rocky Reefs"
485,Indian Featherback,Local Name 485,Gulf of Mannar,Rare,Winter (Dec-Feb),"Freshwater rivers, Estuaries"
486,Butterfly Fish,Local Name 486,"Sundarbans, West Bengal",Endangered,Spring (Mar-Apr),"Mangroves, Open Sea"
487,Bombay Duck,Local Name 487,Tamil Nadu Coast,Critically Endangered,Monsoon (July-Sept),"Estuaries, Open Sea"
488,Longcomb Sawfish,Local Name 488,Tamil Nadu Coast,Rare,Summer (May-Jul),"Open Sea, Estuaries"
489,Guitarfish,Local Name 489,Andaman Islands,Stable,Monsoon (July-Sept),"Freshwater rivers, Shallow Reefs"
490,Silver Whiting,Local Name 490,Lakshadweep Sea,Critically Endangered,Spring (Mar-Apr),"Freshwater rivers, Open Sea"
491,Cod,Local Name 491,West Bengal Coast,Moderate,Winter (Dec-Feb),"Shallow Reefs, Sandy Bottoms"
492,Tilefish,Local Name 492,West Bengal Coast,Moderate,Spring (Mar-Apr),"Sandy Bottoms, Coral Reefs"
493,Giant Grouper,Local Name 493,Gulf of Mannar,Moderate,Year-round,"Shallow Reefs, Mangroves"
494,Mackerel,Local Name 494,Rameswaram Coast,Stable,Spring (Mar-Apr),"Mangroves, Open Sea"
495,Bonito,Local Name 495,West Bengal Coast,Stable,Winter (Dec-Feb),"Estuaries, Coral Reefs"
496,Shovelnose Ray,Local Name 496,Kanyakumari,Endangered,Year-round,"Coastal, Rocky Reefs"
